ID,URSI,STATIONNAME,LAT,LONG
1,AH223,AHMEDABAD,23.00,72.50
2,DH224,ALDHAFRAAFB,24.24,54.58
3,AL945,ALPENA,45.07,276.44
4,AN438,ANYANG,37.39,126.95
5,AS00Q,ASCENSIONISLAND,-7.95,345.60
6,AT138,ATHENS,38.00,23.50
7,AU930,AUSTIN,30.40,262.30
8,AW426,AWASE,26.32,127.84
9,BP440,BEIJING,40.30,116.20
10,BLJ03,BELEM,1.43,311.56
11,BJJ32,BERMUDA,32.40,295.30
12,BVJ03,BOAVISTA,2.80,299.30
13,BC840,BOULDER,40.00,254.70
14,BR52P,BRISBANE,-27.06,153.06
15,BV53Q,BUNDOORA,-37.70,145.05
16,CXM9B,CACHIMBO,-9.50,305.20
17,CAJ2M,CACHOEIRAPAULISTA,-22.70,315.00
18,CN53L,CAMDEN,-34.05,150.67
19,CGK21,CAMPOGRANDE,-20.50,305.00
20,CB53N,CANBERRA,-35.32,149.00
21,CH833,CHERRY,32.90,253.59
22,RL052,CHILTON,51.50,359.40
23,CL424,CHUNG-LI,25.00,121.20
24,CS31K,COCOS_ISLAND,-12.18,96.83
25,CO764,COLLEGEAK,64.90,212.00
26,CS839,COLORADO_SPRINGS,39.00,255.12
27,DW41K,DARWIN,-12.45,130.95
28,DB049,DOURBES,50.10,4.60
29,DS932,DYESSAFB,32.40,260.20
30,EA653,EARECKSON,52.73,185.92
31,EG931,EGLINAFB,30.50,273.50
32,EI764,EIELSON,64.66,212.93
33,TR170,EISCATTROMSO,69.58,19.22
34,EA036,ELARENOSILLO,37.10,353.30
35,MO156,ELEKTROUGLI,55.76,38.28
36,FF051,FAIRFORD,51.70,358.50
37,FZA0M,FORTALEZA,-3.90,321.60
38,GA313,GADANKI,13.46,79.17
39,GA762,GAKONA,62.38,215.00
40,GM037,GIBILMANNA,37.90,14.00
41,GSJ53,GOOSEBAY,53.30,299.70
42,GR13L,GRAHAMSTOWN,-33.30,26.50
43,GU513,GUAM,13.62,144.86
44,HA419,HAINAN,19.40,109.00
45,HAJ43,HANSCOMAFB,42.50,288.70
46,HE13N,HERMANUS,-34.42,19.22
47,HO54K,HOBART,-42.92,147.32
48,IC437,I-CHEON,37.14,127.54
49,IF843,IDAHONATIONALLAB,43.81,247.32
50,AC843,IDAHONATIONALLAB,43.81,247.32
51,IL008,ILORIN,8.50,4.50
52,IR352,IRKUTSK,52.40,104.30
53,JB57N,JANGBOGO,-74.62,164.24
54,JJ433,JEJU,33.43,126.30
55,JI91J,JICAMARCA,-12.00,283.20
56,JR055,JULIUSRUH,54.60,13.40
57,KL154,KALININGRAD,54.36,20.12
58,KI939,KENTIS,38.96,283.72
59,KB547,KHABAROVSK,47.52,134.77
60,KS759,KINGSALMON,58.40,203.60
61,KR835,KIRTLAND,35.00,253.47
62,KI167,KIRUNASWEDEN,67.86,20.43
63,TO535,KOKUBUNJI,35.70,139.50
64,KJ609,KWAJALEIN,9.00,167.20
65,LAA38,LAJESTERCEIRAISLAND,38.77,332.91
66,LA42Q,LAVERTON,-28.30,122.80
67,LM42B,LEARMONTH,-21.80,114.10
68,LV12P,LOUISVALE,-28.50,21.20
69,LL721,LUALUALEI,21.43,201.85
70,MU12K,MADIMBO,-22.39,30.88
71,MA560,MAGADAN,60.09,150.93
72,ME929,MELROSE,29.71,278.00
73,MHJ45,MILLSTONEHILL,42.60,288.50
74,MI540,MISAWA,40.71,141.38
75,MH453,MOHE,52.00,122.52
76,MO155,MOSCOW,55.47,37.30
77,MA155,MOSCOW,55.49,37.29
78,MU230,MULTAN,33.03,72.01
79,MU834,MUNYO,33.56,253.35
80,NQJ61,NARSSARSSUAQ,61.20,314.60
81,NI135,NICOSIA,35.03,33.16
82,ND61R,NIUE,-19.07,190.07
83,NDA81,NORDGREENLAND,81.40,342.50
84,NI63_,NORFOLK,-29.03,167.97
85,NO369,NORILSK,69.20,88.00
86,NV355,NOVOSIBIRSK,55.02,82.21
87,OK426,OKINAWA,26.68,128.15
88,OL246,OLSZTYN,53.80,20.50
89,SN437,OSANAB,37.10,127.00
